0,1,2,3,4,5,6,7
125.0,80.0,89.0,83.0,31.0,0.0,8.0,4.0
92.0,71.0,61.0,74.0,7.0,0.0,10.0,4.0
138.0,51.0,32.0,53.0,17.0,0.0,31.0,6.0
170.0,55.0,58.0,72.0,11.0,0.0,11.0,15.0
144.0,65.0,23.0,80.0,14.0,63.0,11.0,6.0
141.0,92.0,66.0,58.0,19.0,0.0,8.0,24.0
148.0,67.0,83.0,76.0,48.0,0.0,8.0,3.0
100.0,67.0,26.0,71.0,37.0,0.0,11.0,4.0
130.0,85.0,22.0,62.0,12.0,0.0,28.0,9.0
170.0,81.0,56.0,48.0,21.0,0.0,8.0,33.0
83.0,57.0,56.0,72.0,23.0,0.0,27.0,5.0
150.0,78.0,52.0,82.0,18.0,0.0,15.0,7.0
118.0,71.0,65.0,68.0,6.0,0.0,3.0,7.0
130.0,51.0,32.0,43.0,83.0,0.0,9.0,3.0
174.0,52.0,66.0,73.0,34.0,0.0,31.0,6.0
89.0,64.0,43.0,73.0,5.0,17.0,16.0,4.0
120.0,78.0,76.0,59.0,43.0,0.0,34.0,3.0
78.0,44.0,14.0,9.0,96.0,0.0,10.0,3.0
100.0,86.0,67.0,66.0,14.0,0.0,12.0,16.0
120.0,63.0,36.0,73.0,0.0,0.0,36.0,4.0
140.0,65.0,87.0,74.0,22.0,0.0,42.0,4.0
123.0,69.0,82.0,76.0,6.0,0.0,6.0,3.0
135.0,48.0,44.0,42.0,12.0,2.0,11.0,3.0
133.0,85.0,81.0,67.0,26.0,0.0,12.0,5.0
99.0,85.0,83.0,68.0,7.0,0.0,36.0,20.0
130.0,79.0,96.0,86.0,9.0,0.0,9.0,9.0
107.0,80.0,82.0,80.0,43.0,0.0,14.0,4.0
122.0,81.0,74.0,71.0,14.0,0.0,56.0,4.0
204.0,52.0,52.0,68.0,46.0,0.0,15.0,4.0
110.0,67.0,78.0,85.0,2.0,0.0,33.0,5.0
126.0,74.0,35.0,84.0,0.0,0.0,11.0,6.0
168.0,56.0,63.0,87.0,39.0,0.0,11.0,5.0
98.0,71.0,17.0,61.0,36.0,0.0,8.0,5.0
97.0,64.0,51.0,63.0,12.0,0.0,19.0,5.0
180.0,72.0,61.0,63.0,67.0,0.0,9.0,28.0
120.0,81.0,63.0,68.0,11.0,0.0,11.0,4.0
150.0,61.0,39.0,73.0,37.0,0.0,11.0,3.0
96.0,75.0,57.0,68.0,9.0,0.0,13.0,6.0
95.0,60.0,48.0,79.0,0.0,0.0,12.0,4.0
125.0,79.0,96.0,85.0,27.0,0.0,11.0,6.0
144.0,56.0,84.0,65.0,23.0,0.0,10.0,6.0
90.0,76.0,91.0,50.0,54.0,0.0,7.0,5.0
128.0,56.0,38.0,97.0,4.0,0.0,35.0,4.0
79.0,56.0,58.0,56.0,37.0,0.0,11.0,10.0
144.0,77.0,75.0,58.0,52.0,0.0,23.0,25.0
122.0,67.0,49.0,64.0,10.0,0.0,10.0,3.0
140.0,71.0,82.0,81.0,11.0,0.0,6.0,5.0
134.0,59.0,51.0,52.0,9.0,0.0,15.0,7.0
186.0,68.0,49.0,59.0,16.0,0.0,13.0,28.0
67.0,53.0,50.0,53.0,23.0,0.0,44.0,7.0
106.0,72.0,17.0,64.0,7.0,0.0,10.0,5.0
128.0,60.0,23.0,91.0,0.0,0.0,12.0,3.0
107.0,92.0,55.0,70.0,18.0,0.0,15.0,7.0
130.0,67.0,96.0,88.0,12.0,19.0,8.0,4.0
123.0,45.0,13.0,54.0,70.0,0.0,9.0,4.0
171.0,50.0,38.0,80.0,0.0,0.0,9.0,7.0
137.0,64.0,88.0,72.0,51.0,0.0,17.0,5.0
125.0,84.0,85.0,68.0,58.0,0.0,22.0,4.0
128.0,86.0,42.0,72.0,59.0,0.0,9.0,19.0
130.0,61.0,53.0,58.0,55.0,0.0,27.0,4.0
130.0,86.0,59.0,96.0,50.0,1.0,9.0,5.0
133.0,70.0,86.0,81.0,25.0,0.0,25.0,5.0
101.0,88.0,72.0,59.0,62.0,0.0,9.0,3.0
95.0,77.0,53.0,64.0,74.0,0.0,17.0,14.0
98.0,90.0,40.0,59.0,0.0,0.0,10.0,29.0
173.0,43.0,28.0,66.0,0.0,0.0,23.0,3.0
90.0,64.0,10.0,62.0,7.0,0.0,48.0,7.0
198.0,59.0,71.0,42.0,55.0,0.0,10.0,7.0
140.0,56.0,48.0,73.0,0.0,0.0,35.0,4.0
82.0,51.0,22.0,53.0,1.0,0.0,15.0,3.0
130.0,77.0,84.0,89.0,17.0,0.0,43.0,5.0
81.0,76.0,53.0,53.0,44.0,0.0,9.0,9.0
94.0,51.0,14.0,59.0,65.0,18.0,25.0,3.0
124.0,61.0,41.0,81.0,5.0,2.0,10.0,3.0
128.0,62.0,55.0,78.0,1.0,3.0,23.0,4.0
138.0,49.0,42.0,62.0,9.0,0.0,11.0,3.0
132.0,58.0,27.0,48.0,50.0,0.0,12.0,3.0
131.0,71.0,24.0,47.0,1.0,0.0,27.0,9.0
168.0,78.0,58.0,73.0,5.0,0.0,10.0,7.0
98.0,68.0,40.0,79.0,33.0,0.0,30.0,6.0
102.0,48.0,50.0,73.0,43.0,0.0,15.0,4.0
101.0,34.0,32.0,57.0,78.0,0.0,20.0,3.0
130.0,63.0,36.0,34.0,76.0,0.0,35.0,9.0
142.0,50.0,20.0,64.0,1.0,0.0,12.0,3.0
170.0,59.0,48.0,76.0,4.0,0.0,10.0,5.0
124.0,78.0,70.0,68.0,3.0,1.0,11.0,4.0
110.0,50.0,45.0,41.0,75.0,0.0,11.0,3.0
92.0,91.0,43.0,71.0,9.0,0.0,9.0,8.0
116.0,82.0,40.0,66.0,39.0,51.0,25.0,7.0
129.0,63.0,84.0,82.0,70.0,8.0,9.0,7.0
98.0,71.0,67.0,60.0,19.0,0.0,12.0,3.0
172.0,74.0,76.0,76.0,6.0,0.0,10.0,9.0
150.0,68.0,14.0,76.0,4.0,0.0,10.0,4.0
136.0,62.0,19.0,53.0,11.0,0.0,6.0,4.0
88.0,53.0,34.0,47.0,9.0,0.0,83.0,4.0
143.0,83.0,69.0,44.0,15.0,0.0,10.0,33.0
100.0,49.0,17.0,35.0,71.0,9.0,11.0,3.0
143.0,56.0,39.0,55.0,14.0,0.0,11.0,13.0
112.0,56.0,24.0,66.0,7.0,0.0,12.0,3.0
93.0,62.0,57.0,59.0,3.0,0.0,38.0,3.0
206.0,43.0,50.0,55.0,50.0,0.0,15.0,10.0
88.0,68.0,17.0,71.0,15.0,0.0,11.0,5.0
170.0,50.0,37.0,90.0,0.0,0.0,12.0,5.0
84.0,62.0,24.0,67.0,21.0,0.0,13.0,28.0
134.0,81.0,53.0,72.0,51.0,0.0,12.0,5.0
158.0,54.0,50.0,40.0,61.0,0.0,10.0,6.0
116.0,80.0,92.0,80.0,4.0,0.0,10.0,3.0
117.0,61.0,45.0,69.0,2.0,0.0,9.0,3.0
114.0,77.0,65.0,72.0,2.0,0.0,7.0,5.0
108.0,61.0,47.0,68.0,0.0,0.0,13.0,3.0
144.0,74.0,37.0,53.0,7.0,0.0,21.0,10.0
130.0,51.0,18.0,44.0,76.0,0.0,11.0,3.0
116.0,77.0,79.0,62.0,33.0,1.0,15.0,3.0
121.0,65.0,49.0,78.0,0.0,0.0,17.0,4.0
112.0,64.0,54.0,81.0,36.0,0.0,11.0,6.0
100.0,70.0,47.0,52.0,30.0,0.0,6.0,33.0
150.0,55.0,30.0,78.0,24.0,0.0,12.0,8.0
120.0,84.0,96.0,71.0,18.0,0.0,34.0,17.0
127.0,82.0,89.0,85.0,4.0,0.0,23.0,6.0
90.0,51.0,42.0,61.0,53.0,0.0,9.0,3.0
128.0,75.0,79.0,63.0,33.0,0.0,15.0,4.0
143.0,64.0,31.0,87.0,4.0,4.0,8.0,4.0
139.0,74.0,68.0,68.0,3.0,0.0,26.0,4.0
162.0,49.0,78.0,64.0,19.0,0.0,11.0,4.0
92.0,81.0,39.0,60.0,31.0,0.0,7.0,3.0
95.0,87.0,57.0,55.0,10.0,0.0,29.0,7.0
146.0,63.0,88.0,93.0,3.0,0.0,10.0,8.0
95.0,55.0,56.0,82.0,12.0,0.0,34.0,5.0
115.0,35.0,12.0,30.0,93.0,0.0,10.0,3.0
128.0,78.0,59.0,65.0,10.0,0.0,26.0,5.0
130.0,82.0,69.0,83.0,3.0,0.0,27.0,5.0
127.0,80.0,74.0,77.0,36.0,0.0,11.0,4.0
150.0,42.0,20.0,86.0,21.0,0.0,9.0,9.0
122.0,78.0,50.0,63.0,27.0,0.0,9.0,5.0
140.0,52.0,20.0,85.0,0.0,0.0,7.0,5.0
140.0,63.0,22.0,54.0,46.0,0.0,12.0,8.0
119.0,75.0,48.0,53.0,18.0,0.0,18.0,34.0
110.0,76.0,96.0,72.0,32.0,0.0,9.0,4.0
95.0,60.0,17.0,45.0,16.0,0.0,11.0,2.0
132.0,56.0,20.0,55.0,45.0,1.0,32.0,3.0
125.0,77.0,74.0,78.0,4.0,0.0,23.0,11.0
124.0,84.0,65.0,50.0,67.0,0.0,13.0,6.0
133.0,93.0,68.0,65.0,42.0,0.0,12.0,25.0
112.0,92.0,67.0,66.0,0.0,0.0,36.0,9.0
97.0,79.0,92.0,89.0,5.0,0.0,6.0,5.0
90.0,59.0,52.0,48.0,38.0,5.0,10.0,11.0
80.0,65.0,27.0,69.0,8.0,0.0,53.0,4.0
172.0,45.0,33.0,59.0,6.0,0.0,8.0,3.0
120.0,60.0,24.0,35.0,73.0,0.0,31.0,3.0
140.0,74.0,96.0,80.0,18.0,0.0,5.0,5.0
128.0,81.0,90.0,77.0,1.0,0.0,9.0,5.0
122.0,78.0,70.0,81.0,57.0,0.0,10.0,5.0
130.0,47.0,86.0,92.0,8.0,0.0,5.0,24.0
160.0,69.0,61.0,71.0,33.0,0.0,31.0,20.0
144.0,73.0,87.0,70.0,6.0,0.0,28.0,5.0
192.0,50.0,85.0,52.0,11.0,0.0,28.0,6.0
163.0,54.0,40.0,67.0,0.0,0.0,9.0,17.0
122.0,66.0,48.0,71.0,6.0,0.0,12.0,4.0
154.0,61.0,41.0,74.0,21.0,0.0,40.0,6.0
117.0,73.0,31.0,69.0,6.0,0.0,11.0,4.0
138.0,78.0,89.0,83.0,10.0,0.0,12.0,5.0
96.0,86.0,74.0,80.0,33.0,0.0,8.0,6.0
104.0,77.0,36.0,63.0,1.0,0.0,36.0,5.0
164.0,45.0,24.0,62.0,8.0,0.0,16.0,3.0
118.0,68.0,61.0,82.0,2.0,0.0,50.0,3.0
81.0,68.0,51.0,60.0,3.0,0.0,19.0,10.0
117.0,82.0,73.0,45.0,54.0,0.0,7.0,3.0
174.0,45.0,10.0,37.0,97.0,25.0,64.0,4.0
128.0,73.0,60.0,77.0,3.0,0.0,11.0,4.0
145.0,60.0,43.0,27.0,94.0,0.0,14.0,4.0
150.0,65.0,51.0,55.0,73.0,0.0,14.0,3.0
90.0,60.0,13.0,53.0,4.0,0.0,21.0,4.0
85.0,55.0,42.0,53.0,17.0,0.0,22.0,3.0
180.0,33.0,38.0,71.0,20.0,0.0,28.0,5.0
166.0,57.0,84.0,94.0,11.0,0.0,37.0,9.0
160.0,71.0,40.0,50.0,16.0,0.0,16.0,22.0
160.0,65.0,95.0,80.0,5.0,0.0,41.0,16.0
92.0,70.0,81.0,63.0,4.0,0.0,8.0,4.0
170.0,56.0,52.0,64.0,11.0,0.0,45.0,7.0
96.0,83.0,93.0,65.0,58.0,0.0,9.0,8.0
120.0,67.0,40.0,52.0,86.0,0.0,12.0,4.0
98.0,70.0,37.0,54.0,6.0,0.0,9.0,8.0
92.0,53.0,12.0,34.0,1.0,0.0,12.0,4.0
150.0,34.0,24.0,56.0,4.0,0.0,11.0,3.0
94.0,37.0,17.0,47.0,2.0,46.0,11.0,3.0
90.0,74.0,36.0,63.0,26.0,0.0,27.0,5.0
160.0,54.0,54.0,55.0,67.0,0.0,42.0,11.0
120.0,70.0,59.0,75.0,24.0,0.0,9.0,4.0
109.0,63.0,46.0,85.0,1.0,0.0,9.0,5.0
129.0,57.0,41.0,66.0,63.0,0.0,12.0,5.0
157.0,54.0,75.0,60.0,30.0,0.0,7.0,5.0
130.0,63.0,49.0,73.0,5.0,0.0,9.0,3.0
107.0,65.0,19.0,72.0,10.0,0.0,13.0,25.0
146.0,50.0,67.0,89.0,0.0,0.0,19.0,8.0
139.0,48.0,37.0,41.0,32.0,0.0,10.0,10.0
116.0,74.0,76.0,70.0,7.0,0.0,13.0,3.0
95.0,84.0,52.0,77.0,12.0,0.0,7.0,4.0
170.0,62.0,55.0,80.0,15.0,0.0,37.0,7.0
134.0,81.0,18.0,64.0,3.0,0.0,10.0,11.0
84.0,57.0,86.0,90.0,2.0,0.0,9.0,5.0
146.0,61.0,20.0,48.0,21.0,0.0,12.0,6.0
74.0,53.0,24.0,67.0,11.0,0.0,10.0,28.0
144.0,75.0,35.0,48.0,84.0,0.0,10.0,12.0
136.0,77.0,79.0,73.0,15.0,0.0,27.0,10.0
100.0,56.0,53.0,55.0,53.0,0.0,12.0,4.0
105.0,89.0,67.0,78.0,9.0,0.0,7.0,33.0
106.0,67.0,24.0,78.0,15.0,0.0,30.0,4.0
132.0,85.0,53.0,68.0,40.0,0.0,9.0,4.0
120.0,78.0,5.0,30.0,21.0,0.0,13.0,5.0
155.0,82.0,51.0,39.0,2.0,0.0,9.0,49.0
129.0,70.0,42.0,43.0,78.0,0.0,11.0,3.0
135.0,80.0,85.0,74.0,62.0,0.0,8.0,9.0
98.0,73.0,45.0,62.0,28.0,0.0,13.0,13.0
124.0,84.0,64.0,39.0,3.0,0.0,11.0,4.0
135.0,77.0,28.0,55.0,18.0,0.0,22.0,15.0
107.0,78.0,39.0,53.0,30.0,0.0,11.0,6.0
96.0,54.0,25.0,74.0,14.0,0.0,9.0,11.0
123.0,71.0,58.0,70.0,30.0,0.0,32.0,19.0
90.0,62.0,7.0,62.0,6.0,0.0,58.0,6.0
117.0,72.0,45.0,59.0,14.0,0.0,20.0,21.0
133.0,78.0,90.0,84.0,31.0,0.0,7.0,4.0
96.0,74.0,61.0,83.0,11.0,0.0,35.0,6.0
149.0,66.0,85.0,60.0,40.0,0.0,14.0,13.0
110.0,66.0,32.0,40.0,81.0,0.0,11.0,3.0
105.0,95.0,62.0,52.0,3.0,0.0,5.0,16.0
105.0,80.0,69.0,78.0,28.0,0.0,11.0,14.0
134.0,76.0,61.0,58.0,6.0,0.0,16.0,3.0
170.0,71.0,59.0,56.0,4.0,0.0,27.0,12.0
81.0,59.0,26.0,60.0,46.0,1.0,25.0,13.0
154.0,63.0,75.0,92.0,31.0,0.0,91.0,5.0
169.0,69.0,69.0,51.0,63.0,0.0,38.0,4.0
115.0,78.0,64.0,69.0,4.0,0.0,7.0,14.0
84.0,43.0,14.0,74.0,1.0,0.0,19.0,8.0
93.0,79.0,58.0,62.0,11.0,0.0,11.0,23.0
91.0,82.0,47.0,62.0,10.0,0.0,10.0,15.0
142.0,82.0,54.0,44.0,6.0,0.0,33.0,7.0
126.0,78.0,20.0,70.0,1.0,0.0,16.0,4.0
97.0,73.0,10.0,44.0,26.0,0.0,16.0,8.0
101.0,92.0,59.0,51.0,41.0,51.0,26.0,8.0
98.0,80.0,23.0,48.0,14.0,0.0,6.0,5.0
154.0,59.0,63.0,89.0,18.0,0.0,80.0,9.0
120.0,91.0,63.0,58.0,52.0,0.0,31.0,22.0
150.0,49.0,4.0,55.0,7.0,0.0,6.0,3.0
174.0,47.0,27.0,78.0,11.0,0.0,10.0,8.0
202.0,34.0,25.0,51.0,69.0,0.0,18.0,4.0
153.0,56.0,42.0,52.0,5.0,0.0,36.0,24.0
142.0,60.0,13.0,37.0,58.0,0.0,13.0,3.0
108.0,84.0,55.0,47.0,26.0,0.0,20.0,64.0
143.0,83.0,25.0,69.0,4.0,0.0,23.0,12.0
108.0,67.0,55.0,67.0,60.0,0.0,80.0,5.0
104.0,95.0,78.0,66.0,3.0,0.0,4.0,6.0
93.0,84.0,96.0,79.0,43.0,0.0,18.0,11.0
105.0,65.0,46.0,53.0,16.0,0.0,9.0,5.0
170.0,44.0,27.0,32.0,89.0,0.0,14.0,5.0
178.0,62.0,56.0,66.0,18.0,0.0,12.0,5.0
176.0,50.0,44.0,76.0,10.0,0.0,32.0,5.0
104.0,80.0,38.0,88.0,11.0,0.0,11.0,5.0
85.0,70.0,83.0,84.0,31.0,0.0,47.0,30.0
117.0,77.0,69.0,58.0,39.0,0.0,26.0,5.0
80.0,52.0,57.0,48.0,86.0,0.0,15.0,39.0
98.0,44.0,36.0,41.0,50.0,0.0,38.0,5.0
178.0,79.0,58.0,78.0,34.0,0.0,11.0,25.0
148.0,51.0,27.0,33.0,48.0,0.0,22.0,3.0
120.0,77.0,94.0,66.0,65.0,0.0,38.0,3.0
122.0,68.0,38.0,88.0,1.0,0.0,8.0,5.0
144.0,74.0,75.0,73.0,42.0,0.0,9.0,4.0
96.0,93.0,47.0,47.0,33.0,0.0,10.0,36.0
137.0,77.0,35.0,88.0,16.0,0.0,17.0,9.0
121.0,94.0,71.0,61.0,12.0,0.0,53.0,42.0
119.0,60.0,10.0,57.0,1.0,0.0,50.0,3.0
96.0,72.0,40.0,47.0,71.0,0.0,13.0,4.0
111.0,87.0,53.0,52.0,66.0,1.0,11.0,5.0
148.0,90.0,74.0,68.0,14.0,0.0,10.0,19.0
182.0,57.0,80.0,59.0,8.0,0.0,6.0,5.0
141.0,79.0,82.0,86.0,28.0,0.0,4.0,9.0
145.0,76.0,80.0,81.0,19.0,0.0,6.0,9.0
110.0,76.0,26.0,70.0,1.0,0.0,41.0,6.0
134.0,70.0,35.0,41.0,41.0,0.0,10.0,3.0
130.0,92.0,78.0,62.0,18.0,0.0,6.0,10.0
145.0,84.0,88.0,53.0,35.0,0.0,8.0,7.0
130.0,69.0,36.0,90.0,1.0,10.0,15.0,4.0
173.0,59.0,69.0,53.0,12.0,0.0,23.0,3.0
92.0,75.0,55.0,76.0,25.0,0.0,10.0,15.0
105.0,56.0,57.0,87.0,0.0,1.0,10.0,4.0
175.0,59.0,15.0,64.0,43.0,90.0,12.0,10.0
120.0,80.0,33.0,70.0,22.0,0.0,9.0,4.0
139.0,70.0,77.0,48.0,37.0,0.0,12.0,5.0
132.0,59.0,56.0,82.0,12.0,0.0,12.0,6.0
114.0,32.0,17.0,74.0,14.0,0.0,17.0,3.0
145.0,54.0,19.0,48.0,36.0,0.0,37.0,5.0
110.0,82.0,67.0,69.0,0.0,0.0,18.0,4.0
94.0,89.0,61.0,66.0,17.0,0.0,36.0,16.0
134.0,45.0,17.0,60.0,21.0,0.0,33.0,4.0
120.0,62.0,32.0,76.0,0.0,0.0,39.0,4.0
123.0,70.0,86.0,68.0,24.0,0.0,11.0,4.0
131.0,77.0,84.0,71.0,35.0,0.0,15.0,4.0
171.0,70.0,6.0,73.0,1.0,0.0,36.0,26.0
130.0,80.0,64.0,76.0,2.0,0.0,20.0,6.0
94.0,82.0,53.0,67.0,34.0,0.0,9.0,8.0
89.0,73.0,44.0,57.0,39.0,0.0,32.0,6.0
87.0,65.0,71.0,56.0,4.0,0.0,15.0,20.0
124.0,72.0,79.0,78.0,55.0,0.0,15.0,30.0
78.0,71.0,80.0,65.0,51.0,0.0,22.0,32.0
120.0,70.0,70.0,79.0,7.0,0.0,18.0,10.0
96.0,48.0,50.0,80.0,40.0,0.0,37.0,20.0
106.0,73.0,22.0,86.0,31.0,0.0,12.0,4.0
170.0,78.0,75.0,46.0,62.0,0.0,12.0,35.0
134.0,67.0,11.0,76.0,8.0,47.0,30.0,7.0
115.0,71.0,90.0,73.0,30.0,0.0,11.0,5.0
130.0,74.0,79.0,87.0,45.0,0.0,30.0,3.0
118.0,65.0,63.0,79.0,3.0,0.0,10.0,3.0
110.0,59.0,22.0,38.0,42.0,0.0,12.0,3.0
100.0,72.0,42.0,66.0,18.0,4.0,19.0,4.0
142.0,70.0,76.0,79.0,26.0,0.0,11.0,7.0
140.0,64.0,18.0,37.0,72.0,0.0,12.0,7.0
116.0,90.0,96.0,73.0,62.0,0.0,9.0,4.0
120.0,73.0,64.0,85.0,25.0,0.0,61.0,3.0
92.0,76.0,46.0,79.0,31.0,0.0,7.0,6.0
110.0,81.0,64.0,79.0,5.0,0.0,31.0,3.0
120.0,71.0,57.0,97.0,1.0,0.0,13.0,11.0
80.0,63.0,40.0,61.0,9.0,0.0,56.0,6.0
115.0,95.0,43.0,69.0,47.0,0.0,9.0,31.0
76.0,58.0,46.0,67.0,65.0,0.0,13.0,4.0
172.0,60.0,77.0,78.0,45.0,0.0,12.0,6.0
99.0,40.0,45.0,56.0,69.0,0.0,9.0,5.0
136.0,36.0,12.0,57.0,9.0,0.0,14.0,8.0
150.0,90.0,64.0,14.0,67.0,35.0,11.0,10.0
92.0,71.0,41.0,31.0,79.0,0.0,10.0,5.0
95.0,77.0,72.0,87.0,17.0,0.0,7.0,5.0
102.0,83.0,58.0,83.0,21.0,0.0,10.0,5.0
145.0,70.0,34.0,55.0,43.0,0.0,16.0,6.0
110.0,50.0,24.0,86.0,0.0,0.0,64.0,4.0
95.0,64.0,30.0,77.0,46.0,0.0,38.0,6.0
94.0,68.0,81.0,82.0,53.0,0.0,9.0,13.0
142.0,61.0,92.0,91.0,0.0,0.0,26.0,3.0
145.0,59.0,20.0,74.0,1.0,0.0,15.0,5.0
121.0,64.0,67.0,80.0,0.0,0.0,36.0,3.0
140.0,66.0,43.0,76.0,49.0,0.0,12.0,3.0
137.0,84.0,44.0,67.0,8.0,0.0,11.0,6.0
104.0,56.0,72.0,85.0,0.0,0.0,15.0,3.0
92.0,57.0,68.0,76.0,7.0,0.0,33.0,3.0
146.0,74.0,51.0,45.0,86.0,0.0,21.0,38.0
120.0,56.0,20.0,43.0,89.0,0.0,12.0,4.0
144.0,68.0,83.0,81.0,9.0,0.0,8.0,4.0
94.0,59.0,44.0,56.0,80.0,0.0,6.0,3.0
166.0,70.0,57.0,57.0,9.0,20.0,11.0,7.0
113.0,79.0,66.0,74.0,8.0,0.0,11.0,5.0
148.0,50.0,49.0,76.0,12.0,0.0,12.0,3.0
98.0,70.0,29.0,73.0,12.0,0.0,11.0,26.0
140.0,58.0,26.0,38.0,91.0,0.0,10.0,4.0
100.0,36.0,28.0,28.0,81.0,0.0,18.0,3.0
140.0,86.0,68.0,79.0,39.0,0.0,11.0,29.0
100.0,59.0,78.0,94.0,27.0,0.0,29.0,23.0
100.0,59.0,49.0,65.0,2.0,0.0,13.0,3.0
132.0,87.0,82.0,70.0,42.0,0.0,21.0,5.0
142.0,49.0,48.0,67.0,10.0,0.0,26.0,3.0
176.0,72.0,96.0,63.0,25.0,0.0,21.0,7.0
140.0,53.0,51.0,70.0,49.0,0.0,14.0,3.0
105.0,55.0,40.0,90.0,1.0,0.0,32.0,6.0
135.0,81.0,97.0,77.0,75.0,0.0,35.0,3.0
128.0,82.0,61.0,59.0,30.0,0.0,12.0,4.0
101.0,74.0,43.0,69.0,12.0,0.0,12.0,7.0
122.0,88.0,43.0,50.0,7.0,0.0,14.0,5.0
105.0,76.0,49.0,56.0,80.0,12.0,10.0,13.0
83.0,53.0,40.0,36.0,73.0,0.0,11.0,33.0
77.0,72.0,59.0,76.0,24.0,0.0,42.0,28.0
140.0,75.0,18.0,25.0,78.0,0.0,11.0,26.0
158.0,65.0,72.0,95.0,31.0,0.0,92.0,5.0
176.0,75.0,43.0,65.0,15.0,0.0,11.0,32.0
98.0,73.0,88.0,57.0,56.0,0.0,5.0,2.0
107.0,66.0,47.0,40.0,72.0,0.0,11.0,3.0
109.0,66.0,16.0,57.0,10.0,1.0,12.0,3.0
109.0,84.0,72.0,74.0,10.0,0.0,34.0,7.0
148.0,53.0,61.0,81.0,5.0,0.0,36.0,4.0
158.0,60.0,52.0,76.0,17.0,0.0,19.0,5.0
94.0,74.0,64.0,73.0,6.0,0.0,10.0,6.0
96.0,70.0,40.0,51.0,35.0,0.0,10.0,4.0
100.0,80.0,29.0,67.0,29.0,0.0,12.0,3.0
105.0,58.0,42.0,68.0,1.0,0.0,14.0,4.0
125.0,53.0,32.0,66.0,38.0,0.0,9.0,3.0
170.0,56.0,56.0,63.0,13.0,0.0,19.0,27.0
115.0,70.0,84.0,90.0,17.0,0.0,41.0,6.0
